"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"1","Atrina","IUU_20",0.282239296,0.163449697,0.487361077,30806.00919,8164.593251,116234.8415,0.02796906,0.021443831,0.036582184,16356.41648,12505.36604,21333.57609,0.02,2173.666588,469.7173243,10058.87199,15403.0046,4082.296626,58117.42074,0.141119648,0.081724848,0.243680538,22500,25000,23750,1.7,109746407.810626,38795935.5889533,309591978.679069,36137207.0255,7398047.857725,176030259.825
"2","Atrina","IUU_40",0.282239296,0.163449697,0.487361077,36380.44516,9616.494714,137631.9365,0.027447822,0.021019657,0.036252298,19444.86539,14722.355,25391.4319,0.02,2566.997809,551.8416939,11940.88418,18190.22258,4808.247357,68815.96827,0.141119648,0.081724848,0.243680538,22500,25000,23750,1.7,129605335.956656,45578933.7635109,367516552.96329,42676338.574625,8691506.678925,208965473.15
"3","Atrina","IUU_0",0.282239296,0.163449697,0.487361077,24427.49352,6525.803016,91437.39681,0.029896662,0.022868784,0.038576615,12751.52371,9882.359997,16670.23518,0.02,1723.599645,378.3151102,7852.701768,12213.74676,3262.901508,45718.6984,0.141119648,0.081724848,0.243680538,22500,25000,23750,1.7,87022945.7391008,31246641.0931716,241690467.951938,28654844.098125,5958462.98565,137422280.94
"4","Atrina","IUU_60_legal",0.282239296,0.163449697,0.487361077,40719.11707,10798.63601,153542.2154,0.011275782,0.008622897,0.014792042,21638.04951,16494.40382,28295.12114,0.02,2873.133735,621.6293432,13279.4527,20359.55854,5399.318003,76771.10768,0.141119648,0.081724848,0.243680538,22500,25000,23750,1.7,145061854.617686,51342990.1588804,408715017.07699,47765848.344375,9790662.1554,232390422.25
"5","Atrina","IUU_40_legal",0.282239296,0.163449697,0.487361077,36380.44516,9616.494714,137631.9365,0.016468693,0.012611794,0.021751379,19444.86539,14722.355,25391.4319,0.02,2566.997809,551.8416939,11940.88418,18190.22258,4808.247357,68815.96827,0.141119648,0.081724848,0.243680538,22500,25000,23750,1.7,129605335.956656,45578933.7635109,367516552.96329,42676338.574625,8691506.678925,208965473.15
"6","Atrina","IUU_20_legal",0.282239296,0.163449697,0.487361077,30806.00919,8164.593251,116234.8415,0.022375248,0.017155065,0.029265747,16356.41648,12505.36604,21333.57609,0.02,2173.666588,469.7173243,10058.87199,15403.0046,4082.296626,58117.42074,0.141119648,0.081724848,0.243680538,22500,25000,23750,1.7,109746407.810626,38795935.5889533,309591978.679069,36137207.0255,7398047.857725,176030259.825
"7","Atrina","IUU_60",0.282239296,0.163449697,0.487361077,40719.11707,10798.63601,153542.2154,0.028189454,0.021557243,0.036980106,21638.04951,16494.40382,28295.12114,0.02,2873.133735,621.6293432,13279.4527,20359.55854,5399.318003,76771.10768,0.141119648,0.081724848,0.243680538,22500,25000,23750,1.7,145061854.617686,51342990.1588804,408715017.07699,47765848.344375,9790662.1554,232390422.25
"8","Callinectes","IUU_20_legal",1.194228058,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,0.357830568,0.256364834,3.473763077,2137.038218,220.1352203,2982.849045,0.46,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,1983570.51015628,1699103.45354029,2268405.12707084,2763641.484625,1907181.3369,3922984.3492
"9","Callinectes","IUU_0",1.191246217,0.957432554,1.482159284,6395.657395,4562.390422,8965.570618,0.438962043,0.316230039,4.7685027,1814.644371,167.0461464,2518.925784,0.46,1904.700669,1507.647841,2406.320985,3197.828698,2281.195211,4482.785309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,1678860.06737166,1417210.07002651,1948228.65070688,2333258.319525,1583030.23305,3368849.379
"10","Callinectes","IUU_20",1.194228058,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,0.44728821,0.320456042,4.342203846,2137.038218,220.1352203,2982.849045,0.46,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,1983570.51015628,1699103.45354029,2268405.12707084,2763641.484625,1907181.3369,3922984.3492
"11","Callinectes","IUU_60",1.191246217,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,0.444578638,0.316347164,4.004594204,2866.750426,318.258464,4028.789084,0.46,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2689656.17855948,2210683.97858133,3205619.91473516,3738049.869225,2469344.27565,5543112.5372
"12","Callinectes","IUU_40_legal",1.191246217,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,0.256133377,0.187218532,3.52697284,2612.351454,189.7123767,3573.953881,0.46,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2375839.06344178,1973402.40480271,2801970.38768473,3301910.843175,2204299.65525,4845127.4942
"13","Callinectes","IUU_40",1.191246217,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,0.426888962,0.312030887,5.878288067,2612.351454,189.7123767,3573.953881,0.46,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2375839.06344178,1973402.40480271,2801970.38768473,3301910.843175,2204299.65525,4845127.4942
"14","Callinectes","IUU_60_legal",1.191246217,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,0.177831455,0.126538866,1.601837682,2866.750426,318.258464,4028.789084,0.46,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2689656.17855948,2210683.97858133,3205619.91473516,3738049.869225,2469344.27565,5543112.5372
"15","Cephalopholis","IUU_40",0.561299864,0.401368629,0.784958052,1574.13847,982.9276588,2520.950447,0.458970128,0.355460481,0.509204252,700.8001139,631.6646353,904.8722308,0.09,220.8909271,166.0660177,293.8156906,787.0692348,491.4638294,1260.475224,0.280649932,0.200684314,0.392479026,1000,1500,1250,1.7,295150.962881758,248249.623087134,336876.755217997,193279.5612125,116246.21239,308506.47513
"16","Cephalopholis","IUU_60",0.565525439,0.407485471,0.784859938,1840.767527,1141.092561,2969.45682,0.436228489,0.329041947,0.49729994,842.6680088,739.1832624,1117.17,0.09,260.2502158,193.7887284,349.5052337,920.3837634,570.5462806,1484.72841,0.282762719,0.203742736,0.392429969,1000,1500,1250,1.7,345143.911722677,285343.269955892,400778.145374009,227718.938825,135652.10988,366980.495385
"17","Cephalopholis","IUU_20",0.565525439,0.407485471,0.784859938,1365.059617,856.4499555,2175.711198,0.444103391,0.35021103,0.50145596,620.7942778,549.7927359,787.2306137,0.09,192.9939847,147.1393844,253.1387385,682.5298086,428.2249778,1087.855599,0.282762719,0.203742736,0.392429969,1000,1500,1250,1.7,255948.678519038,216654.670427121,290274.549151469,168869.7366125,102997.56908,265795.675425
"18","Cephalopholis","IUU_40_legal",0.561299864,0.401368629,0.784958052,1574.13847,982.9276588,2520.950447,0.275382077,0.213276289,0.305522551,700.8001139,631.6646353,904.8722308,0.09,220.8909271,166.0660177,293.8156906,787.0692348,491.4638294,1260.475224,0.280649932,0.200684314,0.392479026,1000,1500,1250,1.7,295150.962881758,248249.623087134,336876.755217997,193279.5612125,116246.21239,308506.47513
"19","Cephalopholis","IUU_20_legal",0.565525439,0.407485471,0.784859938,1365.059617,856.4499555,2175.711198,0.355282713,0.280168824,0.401164768,620.7942778,549.7927359,787.2306137,0.09,192.9939847,147.1393844,253.1387385,682.5298086,428.2249778,1087.855599,0.282762719,0.203742736,0.392429969,1000,1500,1250,1.7,255948.678519038,216654.670427121,290274.549151469,168869.7366125,102997.56908,265795.675425
"20","Cephalopholis","IUU_0",0.561299864,0.401368629,0.784958052,1133.846781,706.155949,1820.573097,0.447449543,0.352311132,0.502352401,513.4598385,457.3430314,652.1149886,0.09,159.1070109,119.0070691,212.7187999,566.9233906,353.0779745,910.2865485,0.280649932,0.200684314,0.392479026,1000,1500,1250,1.7,212596.271313189,177901.899846542,243894.4596112,139218.6345375,83304.94837,223354.739895
"21","Cephalopholis","IUU_60_legal",0.565525439,0.407485471,0.784859938,1840.767527,1141.092561,2969.45682,0.174491396,0.131616779,0.198919976,842.6680088,739.1832624,1117.17,0.09,260.2502158,193.7887284,349.5052337,920.3837634,570.5462806,1484.72841,0.282762719,0.203742736,0.392429969,1000,1500,1250,1.7,345143.911722677,285343.269955892,400778.145374009,227718.938825,135652.10988,366980.495385
"22","Dasyatis","IUU_20",0.282239296,0.163449697,0.487361077,2617.503815,1013.240881,6761.794108,0.184592651,0.115525981,2.395406085,644.8904631,49.69597463,1030.435223,0.26,184.6906086,83.86098239,406.7519833,1308.751908,506.6204407,3380.897054,0.139074052,0.080540208,0.240148273,1250,1250,1250,1.7,498000.721407039,390461.723121574,635157.57091245,161604.282525,73378.35959125,355907.9853875
"23","Dasyatis","IUU_20_legal",0.282239296,0.163449697,0.487361077,2617.503815,1013.240881,6761.794108,0.147674121,0.092420785,1.916324868,644.8904631,49.69597463,1030.435223,0.26,184.6906086,83.86098239,406.7519833,1308.751908,506.6204407,3380.897054,0.139074052,0.080540208,0.240148273,1250,1250,1250,1.7,498000.721407039,390461.723121574,635157.57091245,161604.282525,73378.35959125,355907.9853875
"24","Dasyatis","IUU_0",0.282239296,0.163449697,0.487361077,2179.55281,839.5433018,5658.374551,0.184871276,0.115473772,2.47461739,536.5987732,40.0876921,859.0842572,0.26,153.7888628,69.15548851,341.9976465,1089.776405,419.7716509,2829.187275,0.138972783,0.080481562,0.239973406,1250,1250,1250,1.7,414979.266479826,322226.700710033,534430.542013893,134565.25495,60511.05244625,299247.9406875
