"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"1","Atrina","IUU_20",0.282239296,0.163449697,0.487361077,18570.96436,5666.886893,60858.93783,0.155074986,0.083286991,1.644517956,2950.015427,278.1809698,5492.73774,0.02,1310.363977,373.2579833,4600.179579,9285.482178,2833.443447,30429.46891,0.089667964,0.051928281,0.154835545,22500,25000,23750,1.7,104121281.666717,48518674.9639373,222825752.591241,21784801.117625,5878813.236975,80503142.6325
"2","Atrina","IUU_0",0.282239296,0.163449697,0.487361077,15693.05715,4802.158559,51283.61336,0.150939845,0.082124891,1.703293769,2525.694914,223.8181146,4642.051816,0.02,1107.299351,317.1547012,3865.974078,7846.528576,2401.079279,25641.80668,0.090849138,0.052612319,0.156875156,22500,25000,23750,1.7,86841857.2763453,40689980.4796667,184827262.163806,18408851.710375,4995186.5439,67654546.365
"3","Atrina","IUU_60_legal",0.282239296,0.163449697,0.487361077,24692.78077,7482.048404,81492.84648,0.061862092,0.033447723,0.683012731,3944.029547,357.2201644,7294.544905,0.02,1742.318266,489.494574,6201.647782,12346.39038,3741.024202,40746.42324,0.090160775,0.052213677,0.155686515,22500,25000,23750,1.7,137687565.853887,63280132.0332219,298756500.298051,28966041.17225,7709539.5405,108528836.185
"4","Atrina","IUU_20_legal",0.282239296,0.163449697,0.487361077,18570.96436,5666.886893,60858.93783,0.124059989,0.066629593,1.315614365,2950.015427,278.1809698,5492.73774,0.02,1310.363977,373.2579833,4600.179579,9285.482178,2833.443447,30429.46891,0.089667964,0.051928281,0.154835545,22500,25000,23750,1.7,104121281.666717,48518674.9639373,222825752.591241,21784801.117625,5878813.236975,80503142.6325
"5","Atrina","IUU_40_legal",0.282239296,0.163449697,0.487361077,21770.03926,6631.542313,71466.72478,0.090172946,0.049777642,0.952287597,3551.303724,336.2760588,6433.239985,0.02,1536.090139,436.0683239,5411.016547,10885.01963,3315.771156,35733.36239,0.092082284,0.053326456,0.159004509,22500,25000,23750,1.7,118857197.768628,55197014.8986649,255229391.655176,25537498.560875,6868076.101425,94692789.5725
"6","Atrina","IUU_60",0.282239296,0.163449697,0.487361077,24692.78077,7482.048404,81492.84648,0.154655231,0.083619308,1.707531827,3944.029547,357.2201644,7294.544905,0.02,1742.318266,489.494574,6201.647782,12346.39038,3741.024202,40746.42324,0.090160775,0.052213677,0.155686515,22500,25000,23750,1.7,137687565.853887,63280132.0332219,298756500.298051,28966041.17225,7709539.5405,108528836.185
"7","Atrina","IUU_40",0.282239296,0.163449697,0.487361077,21770.03926,6631.542313,71466.72478,0.150288244,0.082962737,1.587145995,3551.303724,336.2760588,6433.239985,0.02,1536.090139,436.0683239,5411.016547,10885.01963,3315.771156,35733.36239,0.092082284,0.053326456,0.159004509,22500,25000,23750,1.7,118857197.768628,55197014.8986649,255229391.655176,25537498.560875,6868076.101425,94692789.5725
"8","Callinectes","IUU_40",1.191246217,0.957432554,1.482159284,9454.804022,6905.173079,12945.84771,0.244495807,0.19864573,0.37475355,4561.157981,2975.779682,5613.933903,0.46,2815.74988,2333.932129,3397.034254,4727.402011,3452.58654,6472.923855,0.595623108,0.478716277,0.741079642,1500,2000,1750,1.7,2481886.05704667,2193928.86457044,2750339.4195249,3449293.603,2450628.73545,4755847.9556
"9","Callinectes","IUU_60_legal",1.194228058,0.962111433,1.482344565,10808.5902,7900.854637,14786.45382,0.096845963,0.079453587,0.148559729,5264.012908,3431.605618,6416.304441,0.46,3226.980422,2666.978313,3904.569676,5404.295102,3950.427318,7393.226909,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,2837254.92832124,2494805.06818299,3160859.97727468,3953051.01695,2800327.22865,5466397.5464
"10","Callinectes","IUU_0",1.194228058,0.962111433,1.482344565,6725.534921,4903.103977,9225.343822,0.243821097,0.199197287,0.375143339,3266.985552,2123.348378,3998.849638,0.46,2007.955627,1650.829407,2442.339458,3362.767461,2451.551988,4612.671911,0.597114029,0.481055717,0.741172283,1500,2000,1750,1.7,1765452.9168247,1544256.1160748,1977143.11289215,2459745.643075,1733370.87735,3419275.2412
